team_code,rating,matches_played,wins,losses,model,pool_key,team_name,rank
B18SJJVB1NE,26.83611008601866,6,6,0,massey,B18,SMASH Boys 18-1,1
B18NEVBC1NE,20.76387238418797,6,5,1,massey,B18,NEVBC Boys 18.1,2
B18SJVBC1NE,16.47286614912868,18,16,2,massey,B18,South County Juniors Boys 18's Blue,3
B18PWRSP1SU,15.7372876782925,8,6,2,massey,B18,PSA Power 18,4
B18LEGIO1XL,15.580983988281389,14,11,3,massey,B18,TeamLVC Boys 18 Black,5
B18NYCIV1GE,13.697880039638232,8,6,2,massey,B18,NYC Impact 18 National,6
B18CORE11GE,13.36015428107505,7,4,3,massey,B18,CORE Boys 18 Platinum,7
B18VENGE1OV,12.113581279797959,9,9,0,massey,B18,18 - Lusher,8
B18PVJVB1NE,12.05390256699308,8,4,4,massey,B18,PV Boys 18 1,9
B18SJJVB2NE,11.152196905925804,8,4,4,massey,B18,SMASH Boys 18's Force,10
B18HKJVB1NE,11.008594235488768,10,6,4,massey,B18,Husky 18.1,11
B18SJJVB3NE,10.85481841845736,8,6,2,massey,B18,SMASH Boys 18's Surge,12
B18DIGSV1GE,10.612122469298408,7,4,3,massey,B18,Digs Boys 18 Red,13
B18MVNER1NE,10.088829283265241,10,6,4,massey,B18,Meraki VB 18 1,14
B18LCVBC1GE,9.913915657457,8,3,5,massey,B18,Legacy Boys 18 National,15
B18MVPVA1NE,8.63789198265823,19,10,9,massey,B18,MVP BOS 18 Black,16
B18LHVBC1NE,7.849442134671981,22,11,11,massey,B18,LHV Boys 18-1 Rafiki,17
B18NYCVA1GE,7.48442713467527,12,4,8,massey,B18,NYC VBA 18 Riverside,18
B18315VB1XL,6.99886522217645,4,4,0,massey,B18,315VB 18 USA,19
B18CAPIT1XL,6.468195589868092,23,19,4,massey,B18,CSVC 18 HAYSTACK,20
B18MMVBC1NE,4.96795934897103,10,4,6,massey,B18,Mayhem 18 1,21
B18XTREM2GE,4.893441684290439,9,6,3,massey,B18,Xtreme 18 National Kelly,22
B18ROYAL1NO,4.605516048819822,8,4,4,massey,B18,Infinity Royals 18N,23
B18PVJVB2NE,4.1046271495857045,17,11,6,massey,B18,PV Boys 18 2,24
B18MCJVB1NE,3.474421115384654,19,5,14,massey,B18,Mill City 18's,25
B18BVJVB1NE,3.2591116103208306,22,11,11,massey,B18,Blast 18 Fire,26
B18DSTJN1GE,2.8185153158988667,7,3,4,massey,B18,Downstate (N-B) 18 Cobras,27
B18118281XX,2.6466406620084024,19,15,4,massey,B18,PW-VB Quarter-Zip Elite 67-Matcha,28
B18PINVA1GE,2.3158992977095725,7,4,3,massey,B18,PVA Boys 18 National,29
B18VTVBC1NE,1.4938606153164464,13,8,5,massey,B18,VTV 18 1,30
B18NYCIV2GE,1.0294245539929894,7,4,3,massey,B18,NYC Impact 18 Travel,31
B18HKJVB2NE,-0.12825317049958507,10,4,6,massey,B18,Husky 18.2,32
B18SPTMC2GE,-0.4827833775964452,8,2,6,massey,B18,Sportime 18 2,33
B18SJVBC2NE,-0.8950895960897007,18,11,7,massey,B18,South County Juniors Boys 18's Gold,34
B18MVPVA2NE,-0.9074394572431395,18,11,7,massey,B18,MVP BOS 18 Blue,35
B18MMVBC2NE,-1.0752739666954358,10,8,2,massey,B18,Mayhem 18 2,36
B18UNVBC1NE,-1.0818676730823515,12,3,9,massey,B18,Unity 18 Boys National Vikings,37
B18NESVC1NE,-1.3929212324367928,22,15,7,massey,B18,NE Storm 18 Thunder,38
B18TUSVA1GE,-2.0443273021273334,9,5,4,massey,B18,Train Up VB 18 1,39
B18HKJVB3NE,-2.7459752581558643,10,5,5,massey,B18,Husky 18.3,40
B18RAPTO1GE,-3.400641791021489,7,2,5,massey,B18,NYC Raptors 18 Black,41
B18LHVBC2NE,-3.9585314558876643,16,7,9,massey,B18,LHV Boys 18-2 Blitz,42
B18NEVBC2NE,-4.3204559372552,11,5,6,massey,B18,NEVBC Boys 18.2,43
B18CSJVB1NE,-4.3721612156091005,10,1,9,massey,B18,MEVBC/CT STARS 18 1,44
B18RRJVB1NE,-4.617049081822087,24,11,13,massey,B18,Boston United Boys 18 1,45
B18LCVBC2GE,-5.996465018449154,8,2,6,massey,B18,Legacy Boys 18 Premier Anthony,46
B18NESVC2NE,-6.1667823413629,17,9,8,massey,B18,NE Storm 18 Squall,47
B18SLCTD1SC,-6.171853678210788,7,2,5,massey,B18,Selected 18s - Bubba,48
B18MVNER2NE,-8.314561701725303,15,8,7,massey,B18,Meraki VB 18 2,49
B18PVJVB3NE,-9.168459867417585,14,7,7,massey,B18,PV Boys 18 3,50
B18SPTMC3GE,-10.201905295018571,8,2,6,massey,B18,Sportime 18 3,51
B18SAVBC1XL,-10.249784071422708,15,5,10,massey,B18,Sporting Albany Boys 18u,52
B18PVJVB4NE,-10.503314101996233,17,9,8,massey,B18,PV Boys 18 4,53
B18RRJVB2NE,-11.494042789497286,22,6,16,massey,B18,Boston United Boys 18 Select 1,54
B18NEVBC3NE,-15.73432484029101,9,1,8,massey,B18,NEVBC Boys 18 Blue,55
B18NESVC3NE,-16.07342104879079,18,6,12,massey,B18,NE Storm 18 Tornado,56
B18LHVBC3NE,-16.143035542014495,12,3,9,massey,B18,LHV Boys 18-3 Thunder,57
B18TTVBC2NE,-16.678546843255777,5,1,4,massey,B18,SLAM 18 2 Boys,58
B18TTVBC1NE,-18.295898600267076,4,1,3,massey,B18,SLAM 18 1 Boys,59
B18LCVBC5GE,-18.605293053702965,7,0,7,massey,B18,Legacy Boys 18 Premier Billy,60
B18GEVBC1NE,-19.47697537158367,5,0,5,massey,B18,Generations vbc 18 1,61
B18BVJVB2NE,-22.35707517885853,20,2,18,massey,B18,Blast 18 Blaze,62
